"1","e4 e5 Nf3 Nc6 Nc3 Bb4 Bc4 Bxc3","rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR w KQkq - 0 1","e4 e5 Nf3 Nc6 Nc3 Bb4 Bc4 Bxc3 dxc3 Na5 Bg5 Nf6 Nxe5 Nxc4 Nxc4"
"2","e4 e5 Nf3 Nc6 Nc3 Bb4 Bc4 Bxc3","rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR w KQkq - 0 1","e4 e5 Nf3 Nc6 Nc3 Bb4 Bc4 Bxc3 dxc3 Na5 Bg5 Nf6 Nxe5 O-O Bxf7+"
"3","e4 e5 Nf3 Nc6 Nc3 Bb4 Bc4 Bxc3","rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR w KQkq - 0 1","e4 e5 Nf3 Nc6 Nc3 Bb4 Bc4 Bxc3 dxc3 Na5 Bg5 Nf6 Nxe5 Qe7 Bxf7+"
"4","e4 e5 Nf3 Nc6 Nc3 Bb4 Bc4 Bxc3","rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR w KQkq - 0 1","e4 e5 Nf3 Nc6 Nc3 Bb4 Bc4 Bxc3 dxc3 Na5 Bg5 Nf6 Nxe5 d6 Bxf7+"
"5","e4 e5 Nf3 Nc6 Nc3 Bb4 Bc4 Bxc3","rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR w KQkq - 0 1","e4 e5 Nf3 Nc6 Nc3 Bb4 Bc4 Bxc3 dxc3 Na5 Bg5 Nxc4 Bxd8 Kxd8 Qd3"
"6","e4 e5 Nf3 Nc6 Nc3 Bb4 Bc4 Bxc3","rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR w KQkq - 0 1","e4 e5 Nf3 Nc6 Nc3 Bb4 Bc4 Bxc3 dxc3 Na5 Bg5 Nxc4 Bxd8 Nxb2 Qd2"
"7","e4 e5 Nf3 Nc6 Nc3 Bb4 Bc4 Bxc3","rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR w KQkq - 0 1","e4 e5 Nf3 Nc6 Nc3 Bb4 Bc4 Bxc3 dxc3 Na5 Bg5 f6 Bxg8 Rxg8 Qd5"
"8","e4 e5 Nf3 Nc6 Nc3 Bb4 Bc4 Bxc3","rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR w KQkq - 0 1","e4 e5 Nf3 Nc6 Nc3 Bb4 Bc4 Bxc3 dxc3 Na5 Bg5 f6 Bxg8 fxg5 Qd5"
"9","e4 e5 Nf3 Nc6 Nc3 Bb4 Bc4 Bxc3","rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR w KQkq - 0 1","e4 e5 Nf3 Nc6 Nc3 Bb4 Bc4 Bxc3 dxc3 Nf6 h3 Nxe4 Bxf7+ Kxf7 Qd5+"
"10","e4 e5 Nf3 Nc6 Nc3 Bb4 Bc4 Bxc3","rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR w KQkq - 0 1","e4 e5 Nf3 Nc6 Nc3 Bb4 Bc4 Bxc3 dxc3 Nf6 h3 O-O Qe2 Re8 Bg5"
